longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,Price,Rooms_Per_Household,Bedrooms_Per_Room,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN
-122.28,37.8,38.0,684.0,176.0,344.0,155.0,2.0114,131300.0,4.412903225806452,0.2573099415204678,False,False,True,False
-122.28,37.81,17.0,924.0,289.0,609.0,289.0,1.5,162500.0,3.1972318339100347,0.31277056277056275,False,False,True,False
-122.27,37.81,52.0,210.0,56.0,183.0,56.0,1.1667,112500.0,3.75,0.26666666666666666,False,False,True,False
-122.28,37.81,52.0,340.0,97.0,200.0,87.0,1.5208,112500.0,3.9080459770114944,0.2852941176470588,False,False,True,False
-122.28,37.81,52.0,386.0,164.0,346.0,155.0,0.8075,137500.0,2.490322580645161,0.42487046632124353,False,False,True,False
-122.28,37.81,35.0,948.0,184.0,467.0,169.0,1.8088,118800.0,5.609467455621302,0.1940928270042194,False,False,True,False
-122.28,37.81,52.0,773.0,143.0,377.0,115.0,2.4083,98200.0,6.721739130434782,0.18499353169469598,False,False,True,False
-122.27,37.81,40.0,880.0,451.0,582.0,380.0,0.977,118800.0,2.3157894736842106,0.5125,False,False,True,False
-122.27,37.81,10.0,875.0,348.0,546.0,330.0,0.76,162500.0,2.6515151515151514,0.3977142857142857,False,False,True,False
-122.27,37.8,10.0,105.0,42.0,125.0,39.0,0.9722,137500.0,2.6923076923076925,0.4,False,False,True,False
-122.27,37.8,16.0,994.0,392.0,800.0,362.0,2.0938,162500.0,2.74585635359116,0.39436619718309857,False,False,True,False
-122.28,37.8,52.0,215.0,87.0,904.0,88.0,0.8668,137500.0,2.4431818181818183,0.4046511627906977,False,False,True,False
-122.28,37.8,52.0,96.0,31.0,191.0,34.0,0.75,162500.0,2.823529411764706,0.3229166666666667,False,False,True,False
-122.27,37.79,27.0,1055.0,347.0,718.0,302.0,2.6354,187500.0,3.493377483443709,0.3289099526066351,False,False,True,False
-122.27,37.8,39.0,1715.0,623.0,1327.0,467.0,1.8477,179200.0,3.6723768736616704,0.363265306122449,False,False,True,False
-122.26,37.81,29.0,335.0,107.0,202.0,91.0,2.0062,125000.0,3.681318681318681,0.3194029850746269,False,False,True,False
-122.25,37.81,39.0,854.0,242.0,389.0,228.0,3.125,237500.0,3.745614035087719,0.28337236533957844,False,False,True,False
-122.25,37.81,52.0,2155.0,701.0,895.0,613.0,2.5795,350000.0,3.5154975530179446,0.3252900232018561,False,False,True,False
-122.24,37.82,52.0,1509.0,225.0,674.0,244.0,4.9306,313400.0,6.184426229508197,0.14910536779324055,False,False,True,False
-122.24,37.81,52.0,2026.0,482.0,709.0,456.0,3.2727,268500.0,4.442982456140351,0.23790720631786771,False,False,True,False
-122.25,37.81,52.0,1758.0,460.0,686.0,422.0,3.1691,259400.0,4.165876777251185,0.2616609783845279,False,False,True,False
-122.24,37.82,52.0,3481.0,751.0,1444.0,718.0,3.9,275700.0,4.848189415041783,0.21574260270037346,False,False,True,False
-122.25,37.82,28.0,3337.0,855.0,1520.0,802.0,3.9063,225000.0,4.160847880299252,0.25621816002397363,False,False,True,False
-122.25,37.82,52.0,1424.0,289.0,550.0,253.0,5.0917,262500.0,5.628458498023716,0.2029494382022472,False,False,True,False
-122.25,37.83,52.0,2376.0,559.0,939.0,519.0,3.1484,224100.0,4.578034682080925,0.23526936026936027,False,False,True,False
-122.25,37.83,35.0,1613.0,428.0,675.0,422.0,3.4722,243100.0,3.822274881516588,0.2653440793552387,False,False,True,False
-122.25,37.83,52.0,1279.0,287.0,534.0,291.0,3.1429,231600.0,4.3951890034364265,0.22439405785770133,False,False,True,False
-122.23,37.84,50.0,2515.0,399.0,970.0,373.0,5.8596,327600.0,6.742627345844504,0.15864811133200796,False,False,True,False
-122.23,37.84,47.0,3175.0,454.0,1098.0,485.0,5.2868,347600.0,6.546391752577319,0.14299212598425196,False,False,True,False
-122.24,37.83,41.0,2576.0,406.0,794.0,376.0,5.956,366100.0,6.851063829787234,0.15760869565217392,False,False,True,False
-122.24,37.85,37.0,334.0,54.0,98.0,47.0,4.9643,335000.0,7.1063829787234045,0.16167664670658682,False,False,True,False
-122.23,37.85,52.0,2800.0,411.0,1061.0,403.0,6.3434,373600.0,6.947890818858561,0.1467857142857143,False,False,True,False
-122.24,37.84,52.0,3529.0,574.0,1177.0,555.0,5.1773,389500.0,6.358558558558559,0.16265230943610087,False,False,True,False
-122.24,37.85,52.0,2612.0,365.0,901.0,367.0,7.2354,391100.0,7.11716621253406,0.139739663093415,False,False,True,False
-122.22,37.84,50.0,2935.0,473.0,1031.0,479.0,7.5,295200.0,6.127348643006263,0.16115843270868824,False,False,True,False
-122.21,37.84,44.0,3424.0,597.0,1358.0,597.0,6.0194,292300.0,5.735343383584589,0.174357476635514,False,False,True,False
-122.21,37.83,40.0,4991.0,674.0,1616.0,654.0,7.5544,411500.0,7.631498470948012,0.13504307753957123,False,False,True,False
-122.2,37.84,30.0,2211.0,346.0,844.0,343.0,6.0666,311500.0,6.446064139941691,0.15649027589326098,False,False,True,False
-122.21,37.84,34.0,3038.0,490.0,1140.0,496.0,7.0548,325900.0,6.125,0.16129032258064516,False,False,True,False
-122.2,37.84,35.0,2865.0,460.0,1072.0,443.0,7.4882,319300.0,6.467268623024831,0.16055846422338568,False,False,True,False
-122.21,37.83,34.0,5065.0,788.0,1627.0,766.0,6.8976,333300.0,6.6122715404699735,0.15557749259624876,False,False,True,False
-122.19,37.83,29.0,1791.0,271.0,661.0,269.0,6.8538,368900.0,6.657992565055762,0.15131211613623674,False,False,True,False
-122.2,37.82,37.0,1229.0,181.0,420.0,176.0,7.0175,366700.0,6.982954545454546,0.14727420667209112,False,False,True,False
-122.2,37.82,39.0,3770.0,534.0,1265.0,500.0,6.3302,362800.0,7.54,0.14164456233421752,False,False,True,False
-122.21,37.82,52.0,2375.0,333.0,813.0,350.0,7.0549,331400.0,6.785714285714286,0.14021052631578948,False,False,True,False
-122.2,37.81,45.0,2964.0,436.0,1067.0,426.0,6.7851,323500.0,6.957746478873239,0.14709851551956815,False,False,True,False
-122.21,37.8,50.0,2833.0,605.0,1260.0,552.0,2.8929,216700.0,5.132246376811594,0.21355453582774445,False,False,True,False
-122.21,37.8,38.0,2254.0,535.0,951.0,487.0,3.0812,233100.0,4.628336755646817,0.23735581188997337,False,False,True,False
-122.21,37.81,52.0,1389.0,212.0,510.0,224.0,5.2402,296400.0,6.200892857142857,0.15262778977681785,False,False,True,False
-122.22,37.81,52.0,1971.0,335.0,765.0,308.0,6.5217,273700.0,6.39935064935065,0.16996448503297817,False,False,True,False
-122.22,37.8,52.0,2183.0,465.0,1129.0,460.0,3.2632,227700.0,4.745652173913044,0.21300961978928082,False,False,True,False
-122.22,37.8,52.0,2286.0,464.0,1073.0,441.0,3.0298,199600.0,5.183673469387755,0.20297462817147857,False,False,True,False
-122.22,37.8,52.0,2721.0,541.0,1185.0,515.0,4.5428,239800.0,5.283495145631068,0.1988239617787578,False,False,True,False
-122.22,37.81,52.0,2024.0,339.0,756.0,340.0,4.072,270100.0,5.952941176470588,0.1674901185770751,False,False,True,False
-122.22,37.81,52.0,2944.0,536.0,1034.0,521.0,5.3509,302100.0,5.65067178502879,0.18206521739130435,False,False,True,False
-122.23,37.8,52.0,2033.0,486.0,787.0,459.0,3.1603,269500.0,4.429193899782135,0.23905558288243975,False,False,True,False
-122.23,37.81,52.0,1433.0,229.0,612.0,213.0,4.7708,314700.0,6.727699530516432,0.159804605722261,False,False,True,False
-122.24,37.81,52.0,2485.0,313.0,953.0,327.0,6.8591,352400.0,7.599388379204893,0.12595573440643862,False,False,True,False
-122.24,37.81,52.0,1490.0,238.0,634.0,256.0,6.0302,287300.0,5.8203125,0.1597315436241611,False,False,True,False
-122.23,37.81,52.0,2814.0,365.0,878.0,352.0,7.508,348700.0,7.994318181818182,0.1297085998578536,False,False,True,False
-122.24,37.81,52.0,2093.0,550.0,918.0,483.0,2.7477,243800.0,4.333333333333333,0.26278069756330624,False,False,True,False
-122.24,37.8,52.0,888.0,168.0,360.0,175.0,2.1944,211500.0,5.074285714285714,0.1891891891891892,False,False,True,False
-122.25,37.8,52.0,2087.0,510.0,1197.0,488.0,3.0149,218400.0,4.276639344262295,0.24436990896023,False,False,True,False
-122.24,37.81,52.0,2513.0,502.0,1048.0,518.0,3.675,269900.0,4.851351351351352,0.19976124154397135,False,False,True,False
-122.25,37.81,46.0,3232.0,835.0,1373.0,747.0,3.225,218800.0,4.326639892904953,0.2583539603960396,False,False,True,False
-122.25,37.8,43.0,2364.0,792.0,1359.0,722.0,2.1429,250000.0,3.2742382271468142,0.3350253807106599,False,False,True,False
-122.25,37.8,41.0,1471.0,469.0,1062.0,413.0,1.6121,171400.0,3.5617433414043584,0.318830727396329,False,False,True,False
-122.25,37.8,29.0,2468.0,864.0,1335.0,773.0,1.3929,193800.0,3.1927554980595083,0.3500810372771475,False,False,True,False
-122.24,37.79,27.0,1632.0,492.0,1171.0,429.0,2.3173,125000.0,3.804195804195804,0.3014705882352941,False,False,True,False
-122.25,37.79,45.0,1786.0,526.0,1475.0,460.0,1.7772,97500.0,3.882608695652174,0.2945128779395297,False,False,True,False
-122.25,37.79,50.0,629.0,188.0,742.0,196.0,2.6458,125000.0,3.2091836734693877,0.2988871224165342,False,False,True,False
-122.25,37.79,52.0,1339.0,391.0,1086.0,363.0,2.181,138800.0,3.6887052341597797,0.29200896191187453,False,False,True,False
-122.25,37.8,36.0,1678.0,606.0,1645.0,543.0,2.2303,116700.0,3.0902394106813995,0.36114421930870083,False,False,True,False
-122.25,37.8,43.0,2344.0,647.0,1710.0,644.0,1.6504,151800.0,3.639751552795031,0.27602389078498296,False,False,True,False
-122.24,37.8,52.0,996.0,228.0,731.0,228.0,2.2697,127000.0,4.368421052631579,0.2289156626506024,False,False,True,False
-122.24,37.8,52.0,1591.0,373.0,1118.0,347.0,2.1563,128600.0,4.585014409221902,0.23444374607165305,False,False,True,False
-122.24,37.8,52.0,1586.0,398.0,1006.0,335.0,2.1348,140600.0,4.7343283582089555,0.2509457755359395,False,False,True,False
-122.24,37.8,47.0,2046.0,588.0,1213.0,554.0,2.6292,182700.0,3.693140794223827,0.2873900293255132,False,False,True,False
-122.23,37.8,52.0,1192.0,289.0,772.0,257.0,2.3833,146900.0,4.638132295719845,0.2424496644295302,False,False,True,False
-122.24,37.8,52.0,1803.0,420.0,1321.0,401.0,2.957,122800.0,4.496259351620948,0.23294509151414308,False,False,True,False
-122.24,37.8,49.0,2838.0,749.0,1487.0,677.0,2.5238,169300.0,4.192023633677991,0.2639182522903453,False,False,True,False
-122.23,37.8,52.0,783.0,184.0,488.0,186.0,1.9375,126600.0,4.209677419354839,0.23499361430395913,False,False,True,False
-122.23,37.8,51.0,1590.0,414.0,949.0,392.0,1.9028,127900.0,4.0561224489795915,0.26037735849056604,False,False,True,False
-122.23,37.8,50.0,1746.0,480.0,1149.0,415.0,2.25,123500.0,4.20722891566265,0.27491408934707906,False,False,True,False
-122.23,37.8,52.0,1252.0,299.0,844.0,280.0,2.3929,111900.0,4.4714285714285715,0.2388178913738019,False,False,True,False
-122.23,37.79,52.0,1783.0,395.0,1659.0,412.0,2.9357,107900.0,4.327669902912621,0.22153673583847447,False,False,True,False
-122.23,37.79,30.0,999.0,264.0,1011.0,263.0,1.8854,137500.0,3.7984790874524714,0.26426426426426425,False,False,True,False
-122.24,37.79,39.0,1469.0,431.0,1464.0,389.0,2.1638,105500.0,3.776349614395887,0.29339686861810754,False,False,True,False
-122.24,37.79,47.0,1372.0,395.0,1237.0,303.0,2.125,95500.0,4.528052805280528,0.2879008746355685,False,False,True,False
-122.24,37.79,52.0,674.0,180.0,647.0,168.0,3.375,116100.0,4.011904761904762,0.26706231454005935,False,False,True,False
-122.24,37.79,43.0,1626.0,376.0,1284.0,357.0,2.2542,112200.0,4.554621848739496,0.23124231242312424,False,False,True,False
-122.25,37.79,51.0,175.0,43.0,228.0,55.0,2.1,75000.0,3.1818181818181817,0.24571428571428572,False,False,True,False
-122.25,37.79,39.0,461.0,129.0,381.0,123.0,1.6,112500.0,3.747967479674797,0.279826464208243,False,False,True,False
-122.25,37.79,52.0,902.0,237.0,846.0,227.0,3.625,125000.0,3.973568281938326,0.26274944567627495,False,False,True,False
-122.26,37.8,20.0,2373.0,779.0,1659.0,676.0,1.6929,115000.0,3.510355029585799,0.3282764433206911,False,False,True,False
-122.22,37.77,52.0,391.0,128.0,520.0,138.0,1.6471,95000.0,2.8333333333333335,0.3273657289002558,False,False,True,False
-122.22,37.77,52.0,1137.0,301.0,866.0,259.0,2.59,96400.0,4.38996138996139,0.2647317502198769,False,False,True,False
-122.23,37.77,52.0,769.0,206.0,612.0,183.0,2.57,72000.0,4.202185792349726,0.26788036410923277,False,False,True,False
-122.23,37.78,52.0,472.0,146.0,415.0,126.0,2.6429,71300.0,3.746031746031746,0.3093220338983051,False,False,True,False
-122.23,37.78,52.0,862.0,215.0,994.0,213.0,3.0257,80800.0,4.046948356807512,0.2494199535962877,False,False,True,False
-122.22,37.78,50.0,1920.0,530.0,1525.0,477.0,1.4886,128800.0,4.0251572327044025,0.2760416666666667,False,False,True,False
-122.23,37.78,43.0,1420.0,472.0,1506.0,438.0,1.9338,112500.0,3.2420091324200913,0.3323943661971831,False,False,True,False
-122.23,37.78,52.0,986.0,258.0,1008.0,255.0,1.4844,119400.0,3.8666666666666667,0.2616632860040568,False,False,True,False
-122.23,37.79,48.0,1696.0,396.0,1481.0,343.0,2.0375,122500.0,4.944606413994169,0.23349056603773585,False,False,True,False
-122.23,37.79,49.0,1175.0,217.0,859.0,219.0,2.293,106300.0,5.365296803652968,0.18468085106382978,False,False,True,False
-122.22,37.79,37.0,2343.0,574.0,1608.0,523.0,2.1494,132500.0,4.479923518164436,0.24498506188647035,False,False,True,False
-122.23,37.79,30.0,610.0,145.0,425.0,140.0,1.6198,122700.0,4.357142857142857,0.23770491803278687,False,False,True,False
-122.23,37.79,40.0,930.0,199.0,564.0,184.0,1.3281,113300.0,5.054347826086956,0.21397849462365592,False,False,True,False
-122.22,37.79,44.0,1487.0,314.0,961.0,272.0,3.5156,109500.0,5.466911764705882,0.21116341627437793,False,False,True,False
-122.22,37.79,52.0,3424.0,690.0,2273.0,685.0,3.9048,164700.0,4.998540145985402,0.20151869158878505,False,False,True,False
-122.21,37.79,52.0,762.0,190.0,600.0,195.0,3.0893,125000.0,3.9076923076923076,0.24934383202099739,False,False,True,False
-122.22,37.79,46.0,2366.0,575.0,1647.0,527.0,2.6042,124700.0,4.489563567362429,0.24302620456466612,False,False,True,False
-122.22,37.79,49.0,1826.0,450.0,1201.0,424.0,2.5,136700.0,4.306603773584905,0.24644030668127054,False,False,True,False
-122.22,37.79,38.0,3049.0,711.0,2167.0,659.0,2.7969,141700.0,4.626707132018209,0.23319121023286324,False,False,True,False
-122.2,37.79,29.0,1640.0,376.0,939.0,340.0,2.8321,150000.0,4.823529411764706,0.22926829268292684,False,False,True,False
-122.21,37.79,47.0,1543.0,307.0,859.0,292.0,2.9583,138800.0,5.284246575342466,0.19896305897602073,False,False,True,False
-122.21,37.79,34.0,2364.0,557.0,1517.0,516.0,2.8365,139200.0,4.5813953488372094,0.2356175972927242,False,False,True,False
-122.21,37.79,35.0,1745.0,409.0,1143.0,386.0,2.875,143800.0,4.520725388601036,0.2343839541547278,False,False,True,False
-122.21,37.8,39.0,2003.0,500.0,1109.0,464.0,3.0682,156500.0,4.316810344827586,0.24962556165751373,False,False,True,False
-122.21,37.8,39.0,2018.0,447.0,1221.0,446.0,3.0757,151000.0,4.524663677130045,0.22150644202180378,False,False,True,False
-122.2,37.8,43.0,3045.0,499.0,1115.0,455.0,4.9559,273000.0,6.6923076923076925,0.1638752052545156,False,False,True,False
-122.2,37.8,52.0,1547.0,293.0,706.0,268.0,4.7721,217100.0,5.772388059701493,0.18939883645765998,False,False,True,False
-122.21,37.8,52.0,3519.0,711.0,1883.0,706.0,3.4861,187100.0,4.984419263456091,0.2020460358056266,False,False,True,False
-122.2,37.8,41.0,2070.0,354.0,804.0,340.0,5.1184,239600.0,6.088235294117647,0.17101449275362318,False,False,True,False
-122.21,37.8,48.0,1321.0,263.0,506.0,252.0,4.0977,229700.0,5.242063492063492,0.19909159727479184,False,False,True,False
-122.19,37.8,48.0,1694.0,259.0,610.0,238.0,4.744,257300.0,7.117647058823529,0.15289256198347106,False,False,True,False
-122.19,37.8,46.0,1938.0,341.0,768.0,332.0,4.2727,246900.0,5.837349397590361,0.17595459236326108,False,False,True,False
-122.19,37.79,50.0,968.0,195.0,462.0,184.0,2.9844,179900.0,5.260869565217392,0.20144628099173553,False,False,True,False
-122.2,37.79,40.0,1060.0,256.0,667.0,235.0,4.1739,169600.0,4.51063829787234,0.24150943396226415,False,False,True,False
-122.2,37.8,46.0,2041.0,405.0,1059.0,399.0,3.8487,203300.0,5.1152882205513786,0.19843214110730034,False,False,True,False
-122.19,37.8,52.0,1813.0,271.0,637.0,277.0,4.0114,263400.0,6.5451263537906135,0.14947600661886376,False,False,True,False
-122.19,37.79,45.0,2718.0,451.0,1106.0,454.0,4.6563,231800.0,5.986784140969163,0.1659308314937454,False,False,True,False
-122.19,37.79,28.0,3144.0,761.0,1737.0,669.0,2.9297,140500.0,4.699551569506727,0.24204834605597964,False,False,True,False
-122.2,37.79,35.0,1802.0,459.0,1009.0,390.0,2.3036,126000.0,4.62051282051282,0.25471698113207547,False,False,True,False
-122.2,37.79,49.0,882.0,195.0,737.0,210.0,2.6667,122000.0,4.2,0.22108843537414966,False,False,True,False
